epoch,train_loss,train_dice,val_loss,val_dice,val_iou,val_precision,val_recall,val_f1,epoch_time_sec,gpu_memory_mb_peak,grad_norm_mean,grad_norm_std,lr_encoder,lr_decoder
11,1.039873167872429,0.0035487109271343797,0.9986427128314972,0.005578800570219755,0.002797202803407212,0.0008143322475570033,0.6666666666666666,0.001626677511183408,28.71144151687622,697.85693359375,0.035761594687499995,0.01632183594847846,5.936906572928624e-06,0.00023747626291714495
12,1.0378684401512146,0.005254887139017228,0.9985000491142273,0.002481389557942748,0.0012422360147090739,0.0009170105456212746,1.0,0.0018323408153916626,28.5194730758667,696.60693359375,0.0425325340625,0.03688815146437122,5.3139525976465675e-06,0.0002125581039058627
13,1.0367686599493027,0.006025631901138695,0.9986588358879089,0.001693480066023767,0.000847457609295955,0.0007384615384615384,1.0,0.0014758332308449143,29.225982189178467,696.48193359375,0.039964758125,0.034774598416232504,4.686047402353433e-06,0.00018744189609413734
14,1.0345647633075714,0.007387172401649877,0.9985129237174988,0.001998001942411065,0.0009999999721489149,0.0007823705828660843,1.0,0.0015635179153094465,28.700259923934937,694.85693359375,0.04392512625,0.032478644271000286,4.063093427071377e-06,0.0001625237370828551
15,1.0361250787973404,0.005625613106531091,0.9984308481216431,0.0022446690127253532,0.0011235955564268501,0.0008450704225352113,1.0,0.0016887137630171689,29.48899483680725,697.13671875,0.034138458125,0.00838604724001922,3.4549150281252644e-06,0.0001381966011250106
16,1.0380316823720932,0.002369781883317046,0.9984632134437561,0.0022346368059515953,0.0011185681998104294,0.0007894736842105263,1.0,0.0015777018143570867,30.232013463974,697.35693359375,0.036343523125,0.024018030611680497,2.8711035421746364e-06,0.00011484414168698548
17,1.0353060066699982,0.004572435325826518,0.9983715713024139,0.002509410260245204,0.0012562813928310647,0.0008907363420427554,1.0,0.0017798872738059924,30.009766101837158,696.85693359375,0.029720577812500003,0.0030163471872570206,2.320866025105015e-06,9.283464100420063e-05
18,1.0308431386947632,0.00990354064560961,0.9982030391693115,0.002805049065500498,0.0014044943705610704,0.0009486166007905138,1.0,0.0018954351603222238,25.34764337539673,697.35693359375,0.038535475,0.02328930563184997,1.8128800512565508e-06,7.251520205026205e-05
19,1.031286209821701,0.008991337526822463,0.9981493353843689,0.0028860028833150864,0.0014450867038545254,0.0009857072449482504,1.0,0.0019694731659281144,23.171809673309326,696.35693359375,0.04036150375,0.022007512074686104,1.3551568628929432e-06,5.4206274515717736e-05
20,1.0333868116140366,0.00648515948705608,0.9981526732444763,0.0030627872329205275,0.0015337423797499073,0.0009561752988047809,1.0,0.001910523801942366,22.174484491348267,695.10693359375,0.0398492590625,0.018147160707207642,9.549150281252633e-07,3.819660112501054e-05
21,1.0360438525676727,0.0032025673135649413,0.9981575608253479,0.002994012087583542,0.0014992504307477577,0.000994530084535057,1.0,0.0019870839542970686,22.616050004959106,696.85693359375,0.031479970625000006,0.006315102600908861,6.184665997806822e-07,2.473866399122729e-05
22,1.031006172299385,0.00849382154410705,0.9982147812843323,0.002706359839066863,0.0013550134965877108,0.0009186954524575103,1.0,0.001835704451583295,23.661619663238525,696.38671875,0.04475230625,0.022363053810697142,3.511175705587433e-07,1.4044702822349733e-05
23,1.0358518213033676,0.003407500458706636,0.9982510507106781,0.0025806452613323927,0.0012919897142330593,0.0009041591320072332,1.0,0.001806684733514002,23.284427165985107,697.85693359375,0.03532432375,0.02883284758252293,1.5708419435684518e-07,6.283367774273808e-06
24,1.02748491615057,0.01206360737705836,0.9981747567653656,0.0027662517968565226,0.001385041585315311,0.0009616925789389325,1.0,0.0019215372297838272,23.641082286834717,695.35693359375,0.051889211875,0.049502955864639375,3.9426493427611177e-08,1.5770597371044473e-06
25,1.0298544988036156,0.01013565141329309,0.9981003999710083,0.0029761905316263437,0.0014903129935234139,0.0009896091044037606,1.0,0.0019772614928324273,23.361761569976807,697.35693359375,0.0617450378125,0.09569327061201116,0.0,0.0
